Monitoring Site,POC,First Valid Data,Monitor Status,
Houston Croquet C409,1,8-Feb-00,Active,
Houston Westhollow C410,1,7-Mar-00,Active,
Park Place C416,1,22-Feb-06,Active,
Katy Park C559,1,23-May-06,Active,
Atascocita C560,1,28-Mar-06,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Clear Creek High School C571,1,2-Oct-03,"Shutdown Oct 3, 2003",
Clear Lake High School C572,1,18-Jun-08,"Shutdown Aug 29, 2012",
HRM-3 Haden Road C603/A114,1,20-Oct-99,Active,
HRM-4 Sheldon Rd C604,,,,
"Deactivated: Dec 6, 2001",1,29-Nov-99,"Shutdown Dec 6, 2001",
HRM-7 W Baytown C607 ,,,,
"Deactivated: Dec 7, 2001",1,29-Nov-99,"Shutdown Dec 7, 2001",
HRM-8 LaPorte C608,,,,
"Deactivated: Dec 5, 2001",1,30-Nov-99,"Shutdown Dec 5, 2001",
HRM-10 Mont Belvieu C610,,,,
"Deactivated: Dec 6, 2001",1,9-Nov-99,"Shutdown Dec 6, 2001",
HRM-11 E Baytown C611,,,,
"Deactivated: Dec 5, 2001",1,10-Nov-99,"Shutdown Dec 5, 2001",
Wallisville Road C617,1,10-Jun-03,Active,
Danciger C618,1,6-Jun-03,Active,
Mustang Bayou C619,1,10-Jun-03,Active,
Texas City 34th St. C620,1,6-Jun-03,Active,
Pasadena AAMS C672,,,,
"Deactivated: Mar 3, 2009",1,19-Jul-06,"Shutdown Mar 2, 2009",
UH Moody Tower C695,1,5-May-10,Active,
UH Coastal Center C697,1,8-Apr-10,Active,
UH WG Jones Forest C698,1,6-Apr-10,Active,
UH West Liberty C699,1,26-May-10,Active,
Freeport South Avenue I C1012,1,25-May-11,Active,
Lynchburg Ferry C1015/A165,1,24-Apr-03,Active,
Lake Jackson C1016,1,11-Jun-03,Active,
Baytown Garth C1017,1,6-Jun-12,Active,
Cesar Chavez C1020/175,1,12-May-04,Active,
Texas City Ball Park A147/C1022,1,29-Apr-00,Active,
Manchester C1029/A307/E307,1,26-May-05,Active,
Channelview North C1030/A309,,,,
"Deactivated: Oct 2, 2007",1,8-Dec-05,"Shutdown Oct 2, 2007",
Galveston 99th St. C1034/A320/X183,1,20-Mar-07,Active,
Jacinto Port C1036/A318,1,19-Jul-06,Active,
Pasadena North C1049/A330,1,1-Jul-08,Active,
Houston Southwest Freeway C1066,1,16-Jan-14,Active,
Galveston C2003,,,,
"Deactivated: Nov 19, 2008",1,22-Sep-08,"Shutdown Nov 19, 2008",
Galveston Airport KGLS C5005,1,22-Jan-03,Active,
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Dew Point Temperature measured in degrees Fahrenheit,,,,
,Houston Aldine C8/AF108/X150,1,1-Mar-00,Active
Channelview C15/AH115,1,8-Jul-02,Active,
Northwest Harris Co. C26/A110/X154,1,27-Jun-02,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,7-Aug-98,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,29-Feb-00,Active,
Houston Bayland Park C53/A146,1,19-May-98,"Shutdown Jun 26, 2002",
Clinton C403/C304/AH113,1,14-Jan-05,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Clear Lake High School C572,1,18-Jun-08,"Shutdown Aug 29, 2012",
Galveston 99th St. C1034/A320/X183,1,20-Mar-07,Active,
Galveston Airport KGLS C5005,1,22-Jan-03,Active,
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Internal Station Temperature measured in degrees Fahrenheit,,,,
,Clear Lake High School C572,1,18-Sep-03,"Shutdown Aug 29, 2012"
Relative Humidity measured in percent,,,,
,Houston Aldine C8/AF108/X150,1,1-Mar-00,Active
Channelview C15/AH115,1,8-Jul-02,Active,
Northwest Harris Co. C26/A110/X154,1,27-Jun-02,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,29-Feb-00,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,29-Feb-00,Active,
Houston Bayland Park C53/A146,1,1-Mar-00,"Shutdown Jun 26, 2002",
Nessler Pool A100,,,,
"Deactivated: Aug 21, 2007",1,5-Aug-98,"Shutdown Apr 21, 1999",
Clinton C403/C304/AH113,1,17-Dec-97,Active,
Park Place C416,1,22-Feb-06,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Pasadena AAMS C672,,,,
"Deactivated: Mar 3, 2009",1,19-Jul-06,"Shutdown Mar 2, 2009",
UH Moody Tower C695,1,5-May-10,Active,
U of H-Sugarland C696,1,25-Feb-09,Active,
UH Coastal Center C697,1,8-Apr-10,Active,
UH WG Jones Forest C698,1,6-Apr-10,Active,
UH West Liberty C699,1,26-May-10,Active,
Galveston 99th St. C1034/A320/X183,1,20-Mar-07,Active,
Galveston Airport KGLS C5005,1,22-Jan-03,Active,
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Visibility measured in miles (visibility),,,,
,Houston Bayland Park C53/A146,1,17-Aug-01,"Shutdown Aug 24, 2005"
Galveston Airport KGLS C5005,1,22-Jan-03,Active,
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Solar Radiation measured in langleys per minute,,,,
,Houston Aldine C8/AF108/X150,1,15-Jul-98,Active
Channelview C15/AH115,1,26-Jun-02,Active,
Houston Deer Park C18,,,,
"Deactivated: Oct 22, 1996",1,10-Sep-96,"Shutdown Oct 23, 1996",
Northwest Harris Co. C26/A110/X154,1,15-Jul-98,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,24-Sep-97,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,24-Oct-96,Active,
Seabrook Friendship Park C45,1,26-Jun-02,Active,
Houston Bayland Park C53/A146,1,18-Jul-98,Active,
Conroe Relocated C78/A321,1,26-Jun-02,Active,
Houston Regional Office C81,,,,
"Deactivated: Jun 25, 2012",1,27-Jun-02,"Shutdown Jun 25, 2012",
Clinton C403/C304/AH113,1,16-Jul-98,Active,
Park Place C416,1,22-Feb-06,Active,
La Porte Sylvan Beach C556,1,15-Jul-07,Active,
Katy Park C559,1,23-May-06,Active,
Atascocita C560,1,28-Mar-06,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Clear Lake High School C572,1,18-Jun-08,"Shutdown Aug 29, 2012",
Wallisville Road C617,1,5-Jun-03,"Shutdown Jun 20, 2003",
Lynchburg Ferry C1015/A165,1,22-May-03,Active,
Lake Jackson C1016,1,11-Jun-03,Active,
Baytown Garth C1017,1,6-Jun-12,Active,
Galveston 99th St. C1034/A320/X183,1,20-Mar-07,Active,
Ultraviolet Radiation measured in langleys per minute,,,,
,Clinton C403/C304/AH113,1,16-Jul-98,Active
Clinton C403/C304/AH113,2,15-May-02,"Shutdown Nov 19, 2008",
Clinton C403/C304/AH113,3,17-Jun-02,"Shutdown Nov 19, 2008",
Clinton C403/C304/AH113,4,18-Feb-04,"Shutdown Nov 19, 2008",
Clinton C403/C304/AH113,5,18-Feb-04,"Shutdown Nov 19, 2008",
Park Place C416,1,22-Feb-06,Active,
Net Radiation measured in langleys per minute,,,,
,HRM-3 Haden Road C603/A114,1,6-May-03,Active
Wallisville Road C617,1,5-Jun-03,Active,
Danciger C618,1,6-Jun-03,Active,
Mustang Bayou C619,1,10-Jun-03,Active,
Texas City 34th St. C620,1,6-Jun-03,Active,
Lynchburg Ferry C1015/A165,1,17-Jun-03,Active,
Lake Jackson C1016,1,24-Jun-03,Active,
Barometric Pressure measured in millibars,,,,
,Houston Aldine C8/AF108/X150,1,14-Apr-97,Active
Clinton C403/C304/AH113,1,8-Feb-05,Active,
Park Place C416,1,22-Feb-06,Active,
UH Moody Tower C695,1,5-May-10,Active,
U of H-Sugarland C696,1,25-Feb-09,Active,
UH Coastal Center C697,1,8-Apr-10,Active,
UH WG Jones Forest C698,1,6-Apr-10,Active,
UH West Liberty C699,1,26-May-10,Active,
Precipitation measured in inches (rainfall),,,,
,Ellington Field C51,,,
"Deactivated: May 4, 2005",1,3-Mar-98,"Shutdown May 3, 2005",
La Porte Airport C243,1,9-Jun-05,Active,
Kingwood C309,1,13-Feb-01,Active,
Clinton C403/C304/AH113,1,29-Jun-01,Active,
Houston Monroe C406,1,3-Apr-02,Active,
Park Place C416,1,22-Feb-06,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Clear Creek High School C571,1,2-Oct-03,"Shutdown Oct 3, 2003",
Clear Lake High School C572,1,18-Jun-08,"Shutdown Aug 29, 2012",
UH Moody Tower C695,1,5-May-10,Active,
U of H-Sugarland C696,1,25-Feb-09,Active,
UH Coastal Center C697,1,8-Apr-10,Active,
UH WG Jones Forest C698,1,6-Apr-10,Active,
UH West Liberty C699,1,26-May-10,Active,
Precipitation measured in millimeters (rainfall),,,,
,Northwest Harris Co. C26/A110/X154,1,27-Jun-02,"Shutdown Jul 9, 2002"
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,20-Oct-99,"Shutdown Oct 22, 1999",
Ellington Field C51,,,,
"Deactivated: May 4, 2005",1,13-Nov-97,"Shutdown Feb 27, 1998",
PM-10 (Local Conditions) measured in micrograms per cubic meter (local conditions),,,,
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,4,14-Dec-10,Active
PM10-2.5 Local Conditions measured in micrograms per cubic meter (local conditions),,,,
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,4,14-Dec-10,Active
PM-2.5 (Local Conditions) measured in micrograms per cubic meter (local conditions),,,,
,Houston East C1/G316,3 N,4-Feb-00,"Shutdown Jan 1, 2007"
Houston Aldine C8/AF108/X150,3 N,3-Aug-01,"Shutdown Jan 1, 2007",
Channelview C15/AH115,3 N,4-Feb-00,"Shutdown Jan 1, 2007",
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",3 N,28-Feb-00,"Shutdown Jan 1, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,3 N,29-Feb-00,"Shutdown Jan 1, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,4 N,14-Dec-10,Active,
Seabrook Friendship Park C45,3 N,17-Aug-01,"Shutdown Jan 1, 2007",
Conroe C65,,,,
"Deactivated: Sep 25, 2001",3 N,16-Feb-00,"Shutdown Sep 21, 2001",
Conroe Relocated C78/A321,3 N,8-Nov-01,"Shutdown Jan 1, 2007",
Kingwood C309,3 N,14-Feb-01,"Shutdown Jan 1, 2007",
Clinton C403/C304/AH113,3 N,17-Oct-01,"Shutdown Jan 1, 2007",
Park Place C416,3 N,22-Feb-06,"Shutdown Jan 1, 2007",
HRM-3 Haden Road C603/A114,1 N,16-May-98,"Shutdown Jul 30, 1999",
Organic Carbon PM2.5 LC measured in no units,,,,
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,11-Sep-02,"Shutdown Jan 24, 2012"
Nitrate PM2.5 LC measured in no units,,,,
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,11-Sep-02,"Shutdown Jan 24, 2012"
Elemental Carbon PM2.5 LC measured in micrograms per cubic meter (local conditions),,,,
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,11-Sep-02,"Shutdown Jan 24, 2012"
Sulfate PM2.5 LC measured in no units,,,,
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,11-Sep-02,"Shutdown Jan 24, 2012"
PM-2.5 (Local Conditions) Acceptable measured in micrograms per cubic meter (local conditions),,,,
,Houston East C1/G316,3,1-Jan-07,Active
Houston Aldine C8/AF108/X150,3,1-Jan-07,Active,
Channelview C15/AH115,3,1-Jan-07,"Shutdown Jul 25, 2013",
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",3,1-Jan-07,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,3,1-Jan-07,Active,
Seabrook Friendship Park C45,3,1-Jan-07,Active,
Conroe Relocated C78/A321,3,1-Jan-07,Active,
Baytown A148,3,25-Jul-13,Active,
Kingwood C309,3,1-Jan-07,Active,
Clinton C403/C304/AH113,3,1-Jan-07,Active,
Park Place C416,3,1-Jan-07,Active,
Clear Lake High School C572,3,18-Jun-08,"Shutdown Aug 29, 2012",
Lake Jackson C1016,3,23-Sep-08,"Shutdown Dec 1, 2008",
Galveston 99th St. C1034/A320/X183,3,21-Mar-07,Active,
Galveston C2003,,,,
"Deactivated: Nov 19, 2008",3,22-Sep-08,"Shutdown Nov 19, 2008",
